block,ts,pool,usd,tx
15933916,1668014423,WETH-RGT,1816453.7,0xb967b58b2501d6e9a0246c6bb0aeb6088200b5bd493c47e611f9a0d8d782a225
16021602,1669072487,CWEB-WETH,1812720.4,0xb9304863a47cffdfa8c273c1a1ae1babaaf8ee3f3bba06d116a9efb5ed0e5a45
15946818,1668170243,SAKE-WETH,1810473.9,0xa71962a4f0c3428af5e6e7a588c9235e35fd4725902c185345fe32aba530b28e
15935739,1668036467,WETH-IMX,1803139.6,0xb19104c825bc1a769d3cfc244cfd456e9df0dc8bb7f33c1a2e24345ad94ab72b
16005983,1668884087,BLXM-WETH,1802516.8,0x5b5f0ab5c8b9b1333399bf55795978bf90ea9a51f774c2a722f87367e10be84b
16015363,1668997211,CRAB-WETH,1801173.9,0xe70bd0081051409ec691d613161d9466eac77d4d18255c1396ca8d9638337d2f
16021996,1669077239,CRAB-WETH,1795416.7,0x824689ba6a461b2462368b4946f27d004f6b4bf10fe975482f015487fa433581
16018177,1669031147,PANDA-WETH,1795354.2,0x8f79bae33271f43c68a533f0f1b1a0b11980babf2a0c376632ee185743507622
16015912,1669003799,CRAB-WETH,1783887.5,0x31e0e01c86af912f201cfd66d5a6a91323ece0941f8ec5ff7d90ef839678899d
15957719,1668301691,SAKE-WETH,1782858.5,0x7d88d4a0ab7948c76b7bd01176ada8372a8e0bfcde3e77a64de14a7e8c57f447
16025036,1669113887,CRAB-WETH,1771443.3,0xc15852156104d23f4844d7df728a1afcc4f4205f00430fd64484f44f2c2075a4
16024657,1669109303,CRAB-WETH,1769729.3,0x01f5018294050e2fddfcc583b303432964ef4906564d4b5d5ccb0d8e861b6400
15823452,1666681079,USDN-WETH,1769220.7,0xa73f46f97f907b8d16074be77e3ffaabf4f436799a1c9136f41d91de47b81e77
16013227,1668971447,CRAB-WETH,1767612.2,0x0587684e37d0143153d2b1a041941611b4882ccd8945a98cfcd1c69ba4a1a3b6
16024361,1669105727,CRAB-WETH,1762468.2,0x3b499ef366509136e703572386bf01adf94832cfacb1d46e59d1a054faf88265
15821564,1666658351,WETH-EUL,1761429.8,0x4676562a0c2ac9faabd08a54d6a0d34ad1cbfa2edc2566d0b377e2ceb75a70c3
15821479,1666657331,DC-WETH,1761424.6,0x67c1d3722242bb713129772ee0892111e3cefccdb79a1f08e542d129d004654f
16020853,1669063439,CRAB-WETH,1760580.9,0x8fcbf95bcc8d6dd09c7eb613feb166dfcc0b061f6ce0a4f1fabb2f4c1c7f1427
16014463,1668986375,CRAB-WETH,1760212.6,0x2c86d3d77b42e0e2036cd4dc641b0f4c5937212ea80ab6dd8dbd130a6aee3aec
16023787,1669098827,WETH-IMX,1756548.9,0x3bb3e96107e356cd3c3e14ea626b3b6fba66bca6108d3647a94d21fd803384d0
15822260,1666666715,USDN-WETH,1755992.4,0x430fa38550a7a6c7d2239c94e1215bd55492dff4273c7f853928feed126bd9c9
15822032,1666663979,USDN-WETH,1753520.0,0xa17c0c42f5c009b235aa6a19439fd34b3b35be9d48dfcc7e21d7f13b39229ee6
15820308,1666643075,DC-WETH,1750791.3,0x10d4932066d010cbfbd1644d9470a4964195a89df2ee0852656a02421b1cb02d
15839006,1666868759,WETH-CTF,1726309.8,0xa635b725eec63c32ba1b19f1784d8017d895cf915de58bf615b9ffe89ee24d28
15940715,1668096551,FTX Token-WETH,1724445.0,0x30d164ebcf8ff6b68cdb424074bfe161db4d2f09267be1a5cb59a1e5321c82bc
15811009,1666530503,LARP-WETH,1719493.6,0x2123c16e1ee3becf932d615eeb5f269116343f21ac25c3ea1fd9ec6c7014b01d
15880879,1667374511,CIRUS-WETH,1714620.8,0x009de0de24d151722a4d0c3b73615db881d4a90db1a18055be58d26933c275c7
16015143,1668994571,CRAB-WETH,1707511.8,0x2ef5cb4675b9489a1030d399b3d128792a88ae257c02cc905896f1b5f061b84f
15808395,1666498991,KOIN-WETH,1704987.5,0x883d35ec0ac669e35b6f9032241706289bd95bd13138eb2b1278868e40067104
15935639,1668035255,VOW-WETH,1704298.3,0xd549ea83059381222bd76d55ebbf584efeab76c3b4186df496f06266ee40c267
15896722,1667565755,WETH-HELLDOG,1700906.7,0x6a6cf8217cd771764d30268562c1ed0c93043b4549133a8e0226fffb4f70368a
